degree,frequency
0,1663295
1,1283805
2,1034429
3,1576021
4,1192557
5,942479
6,988998
7,742847
8,615957
9,533675
10,477691
11,401121
12,324630
13,270810
14,223696
15,196416
16,157460
17,144080
18,131854
19,115713
20,149541
21,165141
22,162130
23,97542
24,61979
25,96259
26,50702
27,37485
28,96933
29,38487
30,28503
31,25230
32,73420
33,49872
34,20236
35,16055
36,14329
37,12678
38,11195
39,11473
40,9752
41,10079
42,8432
43,8124
44,6305
45,5644
46,5232
47,4708
48,5563
49,6206
50,4782
51,4453
52,4729
53,4346
54,3222
55,3301
56,2319
57,2543
58,2142
59,1889
60,1643
61,1465
62,1539
63,1512
64,1163
65,1086
66,1183
67,828
68,929
69,1053
70,990
71,1125
72,1445
73,1223
74,904
75,986
76,1146
77,1399
78,1137
79,575
80,737
81,499
82,490
83,776
84,714
85,1198
86,1454
87,881
88,1273
89,626
90,582
91,728
92,889
93,669
94,574
95,984
96,1105
97,1172
98,1279
99,1996
100,1967
101,2519
102,2857
103,3291
104,3339
105,3262
106,3447
107,3611
108,3243
109,3503
110,3354
111,2711
112,2764
113,2634
114,2233
115,1675
116,1910
117,1736
118,1445
119,1285
120,1344
121,981
122,1066
123,976
124,911
125,695
126,820
127,661
128,630
129,606
130,550
131,478
132,423
133,515
134,381
135,427
136,370
137,329
138,342
139,306
140,367
141,398
142,447
143,270
144,384
145,222
146,305
147,156
148,135
149,139
150,191
151,170
152,138
153,160
154,182
155,129
156,120
157,131
158,118
159,71
160,114
161,69
162,118
163,170
164,61
165,69
166,63
167,95
168,74
169,68
170,108
171,82
172,45
173,73
174,77
175,60
176,50
177,77
178,89
179,40
180,73
181,58
182,40
183,51
184,54
185,37
186,61
187,41
188,49
189,31
190,30
191,43
192,46
193,30
194,23
195,41
196,28
197,29
198,45
199,23
200,18
201,21
202,51
203,37
204,14
205,16
206,40
207,14
208,47
209,22
210,22
211,19
212,35
213,11
214,104
215,36
216,96
217,47
218,35
219,35
220,64
221,17
222,37
223,24
224,28
225,32
226,50
227,47
228,48
229,16
230,51
231,32
232,36
233,18
234,7
235,1
236,8
237,8
238,18
239,10
240,7
241,11
242,10
243,8
244,25
246,15
247,2
248,4
249,2
250,4
251,27
253,57
254,13
255,45
256,11
257,42
258,15
259,23
260,12
261,14
262,16
263,24
264,44
265,37
266,26
267,45
268,12
269,5
270,18
271,13
272,18
273,16
274,29
275,9
276,11
277,10
278,25
279,23
280,29
281,20
282,41
283,13
284,12
285,13
286,5
287,17
288,9
289,2
290,2
291,5
292,9
293,12
294,51
295,17
296,53
297,18
298,25
299,10
300,43
301,13
302,26
303,13
304,17
305,24
306,25
307,26
308,15
309,9
310,26
311,13
312,24
313,29
314,11
315,28
316,10
317,9
318,10
319,11
320,20
321,10
322,1
323,3
324,9
325,13
326,12
327,28
328,17
329,18
330,27
331,14
332,24
333,40
334,14
335,24
336,31
337,46
338,31
339,34
340,12
341,37
342,26
343,27
344,17
345,16
346,9
347,40
348,13
349,23
350,10
351,16
352,56
353,4
354,25
355,4
356,11
357,12
358,14
359,12
360,5
361,8
362,4
363,1
364,3
365,2
366,4
367,5
368,38
369,32
370,8
371,38
372,13
373,6
374,29
375,36
376,21
377,42
378,26
379,10
380,7
381,29
382,14
383,5
384,7
385,13
386,33
387,12
388,25
389,25
390,4
391,12
392,5
393,2
394,2
395,2
396,2
399,1
400,1
401,1
403,2
404,2
405,5
406,3
407,3
408,3
409,1
411,3
412,2
413,6
414,7
415,9
416,7
417,7
419,7
420,5
421,24
422,6
423,1
426,1
430,1
432,2
433,2
434,1
436,1
438,2
440,3
441,1
443,2
446,2
447,1
448,3
451,2
456,2
458,2
462,1
465,1
472,2
473,7
475,1
476,2
483,3
485,2
488,5
489,7
490,7
493,3
495,2
499,12
500,4
502,1
506,1
509,8
512,2
518,1
523,1
527,2
530,1
533,1
535,1
539,2
541,5
542,2
544,1
554,2
557,1
558,5
566,1
569,1
571,5
579,5
585,9
592,1
609,1
619,1
624,1
631,2
647,2
684,1
685,4
781,6
785,3
801,1
808,4
809,1
813,1
855,1
856,4
858,1
859,4
905,1
906,4
972,6
975,6
976,1
978,2
979,1
981,2
994,1
997,1
1005,2
1006,3
1007,1
1008,3
1009,2
1010,1
1011,1
1023,6
1027,1
1029,2
1045,1
1056,2
1057,2
1058,1
1059,1
1264,1
1267,1
1315,1
