"artifactId","numIncoming"
"junit:junit","2776154"
"org.slf4j:slf4j-api","1966436"
"org.mockito:mockito-core","1716315"
"org.scala-lang:scala-library","1578793"
"org.assertj:assertj-core","1098582"
"ch.qos.logback:logback-classic","888641"
"com.google.guava:guava","870311"
"com.fasterxml.jackson.core:jackson-databind","860581"
"org.hamcrest:hamcrest-all","701635"
"org.projectlombok:lombok","667283"
"org.apache.commons:commons-lang3","652146"
"commons-io:commons-io","640219"
"org.jetbrains.kotlin:kotlin-stdlib","575644"
"org.apache.logging.log4j:log4j-core","522401"
"org.junit.jupiter:junit-jupiter-api","465480"
"org.jetbrains.kotlin:kotlin-stdlib-common","460984"
"org.testng:testng","459926"
"org.apache.logging.log4j:log4j-slf4j-impl","448592"
"org.slf4j:slf4j-log4j12","447663"
"com.amazonaws:aws-java-sdk-core","447455"
"org.slf4j:jcl-over-slf4j","444081"
"org.jetbrains.kotlin:kotlin-stdlib-jdk8","440625"
"org.apache.felix:org.apache.felix.scr.ds-annotations","432195"
"javax.annotation:javax.annotation-api","431153"
"com.google.code.findbugs:jsr305","427406"
"com.google.code.gson:gson","424544"
"javax.servlet:javax.servlet-api","420631"
"log4j:log4j","419793"
"org.junit.jupiter:junit-jupiter-engine","414881"
"com.amazonaws:jmespath-java","414785"
"com.amazonaws:aws-java-sdk-test-utils","412695"
"org.apache.logging.log4j:log4j-api","411117"
"software.amazon.awssdk:utils","410564"
"software.amazon.awssdk:annotations","406864"
"io.reactivex.rxjava2:rxjava","406817"
"software.amazon.awssdk:http-client-spi","398882"
"software.amazon.awssdk:sdk-core","394778"
"org.slf4j:slf4j-simple","389914"
"com.fasterxml.jackson.core:jackson-annotations","389149"
"software.amazon.awssdk:test-utils","387992"
"software.amazon.awssdk:aws-core","384933"
"software.amazon.awssdk:regions","384027"
"software.amazon.awssdk:auth","383905"
"software.amazon.awssdk:apache-client","382362"
"software.amazon.awssdk:netty-nio-client","382295"
"software.amazon.awssdk:protocol-core","377245"
"software.amazon.awssdk:service-test-utils","376688"
"com.fasterxml.jackson.core:jackson-core","358923"
"software.amazon.awssdk:aws-json-protocol","345266"
"org.springframework:spring-context","323292"
"software.amazon.awssdk:metrics-spi","314887"
"org.mockito:mockito-all","314808"
"commons-codec:commons-codec","310817"
"ch.qos.logback:logback-core","302369"
"org.junit.jupiter:junit-jupiter","287119"
"org.apache.httpcomponents:httpclient","279597"
"com.h2database:h2","278520"
"org.springframework.boot:spring-boot-starter-test","278495"
"org.mockito:mockito-junit-jupiter","255469"
"org.scala-lang:scala3-library_3","255347"
"com.fasterxml.jackson.datatype:jackson-datatype-jsr310","248295"
"com.github.tomakehurst:wiremock-jre8","246343"
"org.springframework.boot:spring-boot-starter-web","241964"
"io.projectreactor.tools:blockhound","226495"
"org.springframework:spring-web","225647"
"io.projectreactor.tools:blockhound-junit-platform","222498"
"org.hamcrest:hamcrest-library","216885"
"commons-lang:commons-lang","216443"
"org.springframework.boot:spring-boot-autoconfigure","214514"
"org.junit.jupiter:junit-jupiter-params","214112"
"org.junit.vintage:junit-vintage-engine","213594"
"org.jetbrains:annotations","210508"
"joda-time:joda-time","208349"
"javax.xml.bind:jaxb-api","206860"
"org.springframework:spring-test","204324"
"commons-logging:commons-logging","200514"
"org.springframework:spring-core","198854"
"org.springframework:spring-beans","198036"
"com.github.tomakehurst:wiremock","196708"
"org.powermock:powermock-module-junit4","193020"
"org.scala-lang:scala-reflect","191680"
"javax.validation:validation-api","187552"
"com.google.inject:guice","187269"
"org.springframework.boot:spring-boot-configuration-processor","184861"
"com.google.protobuf:protobuf-java","184736"
"com.squareup.okhttp3:okhttp","177298"
"org.scalatest:scalatest_2.12","176988"
"org.wso2.carbon:org.wso2.carbon.core","171562"
"org.apache.axis2.wso2:axis2","170656"
"com.fasterxml.jackson.dataformat:jackson-dataformat-yaml","169153"
"org.jetbrains.kotlin:kotlin-reflect","168728"
"org.hamcrest:hamcrest","164127"
"org.springframework.boot:spring-boot","159751"
"software.amazon.awssdk:ruleset-testing-core","158665"
"org.powermock:powermock-api-mockito2","158163"
"software.amazon.awssdk:json-utils","155631"
"org.slf4j:jul-to-slf4j","153481"
"software.amazon.awssdk:endpoints-spi","152136"
"commons-collections:commons-collections","146719"
"org.apache.httpcomponents:httpcore","146611"
"javax.inject:javax.inject","146331"
"org.springframework.boot:spring-boot-starter","144178"
"org.springframework:spring-jdbc","142283"
"org.easymock:easymock","141738"
"com.google.api-client:google-api-client","141376"
"io.quarkus:quarkus-bom","139853"
"org.scalatest:scalatest_2.13","138338"
"org.powermock:powermock-api-mockito","137054"
"org.apache.commons:commons-collections4","136369"
"org.hamcrest:hamcrest-core","135137"
"org.springframework:spring-webmvc","134042"
"com.sun.xml.bind:jaxb-impl","131342"
"software.amazon.jsii:jsii-runtime","130335"
"javax.servlet:servlet-api","129342"
"commons-beanutils:commons-beanutils","127925"
"commons-cli:commons-cli","124808"
"com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider","123194"
"org.springframework.boot:spring-boot-starter-actuator","123155"
"org.springframework:spring-tx","122169"
"org.osgi:org.osgi.core","121660"
"org.aspectj:aspectjrt","121303"
"org.apache.commons:commons-text","121001"
"org.apache.cxf:cxf-rt-frontend-jaxrs","120600"
"org.powermock:powermock-module-testng","120364"
"org.wso2.carbon:org.wso2.carbon.utils","119053"
"org.jacoco:org.jacoco.agent","118882"
"org.reflections:reflections","118690"
"org.wso2.carbon.identity.framework:org.wso2.carbon.identity.core","117564"
"com.github.spotbugs:spotbugs-annotations","117114"
"org.awaitility:awaitility","116430"
"org.javassist:javassist","115257"
"org.springframework:spring-context-support","114821"
"org.scalatest:scalatest_2.11","114297"
"org.mockito:mockito-inline","114084"
"software.constructs:constructs","112186"
"com.fasterxml.jackson.datatype:jackson-datatype-jdk8","111547"
"org.aspectj:aspectjweaver","111275"
"com.github.ben-manes.caffeine:caffeine","110460"
"org.ops4j.pax.logging:pax-logging-api","108304"
"org.springframework:spring-aop","107128"
"aws.smithy.kotlin:runtime-core-jvm","107016"
"com.google.errorprone:error_prone_annotations","106946"
"org.eclipse.jdt:org.eclipse.jdt.annotation","106539"
