degree,frequency
0,345282
1,36042
2,27698
3,17684
4,16456
5,10098
6,11717
7,7514
8,8404
9,6024
10,6748
11,4543
12,5999
13,3659
14,4470
15,3897
16,4113
17,2823
18,3746
19,2595
20,3215
21,2577
22,2511
23,1974
24,2747
25,1981
26,1852
27,1882
28,2102
29,1495
30,1989
31,1460
32,1780
33,1366
34,1469
35,1120
36,1712
37,1120
38,1150
39,1076
40,1380
41,1012
42,1317
43,975
44,1134
45,1149
46,1003
47,803
48,1213
49,869
50,1061
51,817
52,877
53,764
54,989
55,799
56,733
57,660
58,755
59,760
60,880
61,636
62,647
63,610
64,687
65,528
66,745
67,516
68,633
69,502
70,551
71,477
72,650
73,435
74,486
75,596
76,469
77,456
78,510
79,433
80,424
81,450
82,419
83,366
84,425
85,362
86,352
87,402
88,636
89,327
90,480
91,331
92,375
93,295
94,338
95,351
96,449
97,332
98,382
99,317
100,375
101,306
102,451
103,331
104,306
105,302
106,321
107,246
108,326
109,251
110,303
111,279
112,270
113,252
114,314
115,276
116,295
117,275
118,234
119,232
120,353
121,259
122,209
123,203
124,224
125,210
126,242
127,189
128,217
129,245
130,211
131,197
132,248
133,175
134,210
135,184
136,265
137,178
138,216
139,204
140,241
141,254
142,268
143,155
144,219
145,148
146,202
147,149
148,218
149,165
150,218
151,154
152,205
153,175
154,178
155,148
156,190
157,148
158,188
159,162
160,207
161,119
162,246
163,158
164,149
165,165
166,156
167,130
168,178
169,133
170,158
171,155
172,170
173,114
174,133
175,153
176,167
177,140
178,147
179,145
180,225
181,117
182,142
183,124
184,152
185,104
186,146
187,125
188,129
189,123
190,185
191,139
192,153
193,94
194,135
195,126
196,110
197,101
198,128
199,106
200,121
201,122
202,129
203,111
204,136
205,89
206,124
207,103
208,124
209,117
210,113
211,97
212,124
213,109
214,111
215,97
216,115
217,93
218,99
219,77
220,127
221,80
222,103
223,78
224,119
225,118
226,107
227,80
228,113
229,109
230,103
231,102
232,87
233,68
234,98
235,84
236,125
237,79
238,177
239,103
240,133
241,65
242,97
243,62
244,83
245,77
246,71
247,67
248,95
249,85
250,73
251,93
252,85
253,83
254,86
255,58
256,93
257,72
258,82
259,61
260,94
261,75
262,80
263,64
264,71
265,84
266,69
267,56
268,92
269,73
270,86
271,58
272,86
273,79
274,89
275,91
276,72
277,58
278,59
279,72
280,101
281,69
282,79
283,65
284,60
285,86
286,56
287,61
288,71
289,51
290,71
291,69
292,79
293,49
294,56
295,52
296,57
297,55
298,60
299,51
300,69
301,63
302,66
303,54
304,55
305,67
306,89
307,54
308,64
309,50
310,56
311,64
312,60
313,51
314,60
315,52
316,40
317,47
318,49
319,42
320,53
321,57
322,53
323,70
324,52
325,79
326,45
327,50
328,49
329,54
330,43
331,46
332,49
333,48
334,46
335,50
336,55
337,42
338,44
339,49
340,43
341,43
342,69
343,43
344,57
345,44
346,42
347,33
348,46
349,33
350,50
351,52
352,47
353,38
354,54
355,35
356,51
357,43
358,57
359,39
360,51
361,31
362,46
363,57
364,59
365,43
366,52
367,33
368,59
369,24
370,41
371,35
372,53
373,34
374,35
375,53
376,41
377,35
378,41
379,41
380,48
381,41
382,44
383,34
384,36
385,47
386,39
387,45
388,30
389,32
390,36
391,44
392,52
393,52
394,32
395,33
396,49
397,28
398,37
399,38
400,45
401,35
402,43
403,41
404,42
405,31
406,36
407,36
408,34
409,27
410,38
411,39
412,29
413,35
414,34
415,33
416,28
417,42
418,44
419,39
420,37
421,46
422,32
423,48
424,45
425,32
426,36
427,45
428,31
429,34
430,33
431,42
432,20
433,27
434,27
435,50
436,30
437,21
438,42
439,35
440,36
441,25
442,34
443,28
444,28
445,24
446,33
447,32
448,35
449,27
450,29
451,39
452,37
453,29
454,39
455,38
456,28
457,40
458,34
459,28
460,20
461,29
462,27
463,35
464,24
465,23
466,20
467,28
468,38
469,24
470,43
471,36
472,27
473,34
474,24
475,28
476,43
477,38
478,25
479,34
480,26
481,40
482,32
483,36
484,24
485,23
486,37
487,30
488,31
489,27
490,33
491,27
492,33
493,22
494,21
495,38
496,24
497,27
498,17
499,27
500,22
501,25
502,27
503,25
504,26
505,27
506,21
507,20
508,33
509,26
510,26
511,26
512,22
513,31
514,24
515,19
516,39
517,22
518,20
519,16
520,20
521,20
522,21
523,15
524,28
525,25
526,29
527,18
528,33
529,19
530,31
531,26
532,31
533,27
534,23
535,23
536,20
537,24
538,21
539,28
540,23
541,12
542,24
543,21
544,19
545,26
546,27
547,20
548,28
549,21
550,24
551,14
552,17
553,13
554,24
555,20
556,32
557,16
558,18
559,27
560,27
561,18
562,17
563,22
564,30
565,24
566,17
567,21
568,18
569,19
570,22
571,12
572,23
573,25
574,18
575,23
576,28
577,18
578,20
579,24
580,20
581,23
582,24
583,19
584,30
585,14
586,14
587,23
588,21
589,20
590,19
591,11
592,24
593,22
594,17
595,14
596,10
597,15
598,16
599,23
600,20
601,16
602,18
603,21
604,21
605,19
606,25
607,25
608,24
609,32
610,19
611,14
612,13
613,18
614,22
615,15
616,17
617,11
618,24
619,12
620,18
621,23
622,21
623,20
624,19
625,19
626,16
627,23
628,19
629,11
630,14
631,25
632,19
633,15
634,22
635,17
636,15
637,22
638,18
639,13
640,15
641,13
642,22
643,12
644,24
645,17
646,21
647,15
648,18
649,17
650,25
651,22
652,12
653,10
654,19
655,20
656,17
657,14
658,15
659,19
660,6
661,16
662,23
663,16
664,13
665,15
666,21
667,15
668,30
669,13
670,15
671,11
672,37
673,13
674,12
675,18
676,10
677,20
678,15
679,14
680,17
681,12
682,13
683,18
684,10
685,12
686,18
687,10
688,28
689,14
690,14
691,15
692,18
693,14
694,13
695,10
696,18
697,14
698,10
699,18
700,25
701,15
702,15
703,8
704,21
705,13
706,16
707,11
708,22
709,13
710,13
711,15
712,14
713,20
714,15
715,9
716,15
717,12
718,10
719,13
720,15
721,16
722,10
723,15
724,8
725,13
726,23
727,16
728,24
729,20
730,23
731,38
732,13
733,7
734,18
735,13
736,17
737,13
738,29
739,6
740,10
741,10
742,8
743,9
744,19
745,15
746,11
747,16
748,11
749,17
750,12
751,24
752,12
753,15
754,10
755,10
756,18
757,16
758,13
759,9
760,11
761,13
762,11
763,10
764,8
765,12
766,10
767,11
768,11
769,14
770,12
771,11
772,10
773,12
774,13
775,13
776,8
777,9
778,8
779,19
780,8
781,16
782,15
783,5
784,11
785,17
786,8
787,8
788,14
789,22
790,7
791,16
792,10
793,14
794,17
795,20
796,14
797,10
798,9
799,17
800,7
801,11
802,9
803,7
804,14
805,14
806,25
807,23
808,11
809,15
810,11
811,14
812,14
813,16
814,10
815,12
816,8
817,9
818,15
819,7
820,7
821,15
822,22
823,9
824,12
825,10
826,9
827,11
828,7
829,14
830,14
831,13
832,5
833,6
834,21
835,13
836,12
837,11
838,8
839,13
840,15
841,6
842,7
843,11
844,7
845,5
846,15
847,10
848,9
849,11
850,6
851,5
852,11
853,13
854,12
855,18
856,8
857,11
858,7
859,11
860,9
861,9
862,8
863,8
864,7
865,5
866,6
867,10
868,9
869,14
870,10
871,5
872,9
873,12
874,3
875,7
876,20
877,11
878,9
879,12
880,10
881,5
882,9
883,9
884,11
885,14
886,9
887,9
888,13
889,10
890,8
891,9
892,9
893,4
894,9
895,11
896,5
897,11
898,15
899,5
900,5
901,10
902,14
903,7
904,7
905,8
906,8
907,13
908,14
909,15
910,10
911,8
912,13
913,12
914,4
915,10
916,7
917,15
918,16
919,7
920,8
921,10
922,7
923,16
924,8
925,6
926,11
927,8
928,4
929,6
930,11
931,13
932,10
933,8
934,12
935,10
936,6
937,10
938,7
939,6
940,5
941,5
942,13
943,13
944,7
945,12
946,10
947,9
948,15
949,4
950,8
951,8
952,15
953,8
954,10
955,8
956,9
957,6
958,5
959,14
960,6
961,6
962,10
963,11
964,5
965,10
966,4
967,6
968,10
969,8
970,14
971,8
972,12
973,7
974,5
975,5
976,15
977,11
978,6
979,12
980,12
981,11
982,4
983,6
984,4
985,9
986,13
987,5
988,10
989,8
990,6
991,5
992,13
993,16
994,8
995,6
996,11
997,9
998,5
999,4
1000,11
1001,5
1002,7
1003,8
1004,7
1005,11
1006,7
1007,7
1008,7
1009,6
1010,14
1011,5
1012,6
1013,5
1014,5
1015,7
1016,5
1017,8
1018,10
1019,10
1020,7
1021,7
1022,10
1023,10
1024,7
1025,4
1026,7
1027,10
1028,8
1029,7
1030,7
1031,2
1032,6
1033,8
1034,6
1035,8
1036,9
1037,11
1038,5
1039,5
1040,7
1041,7
1042,10
1043,2
1044,7
1045,3
1046,6
1047,10
1048,6
1049,2
1050,10
1051,6
1052,2
1053,7
1054,8
1055,5
1056,7
1057,5
1058,9
1059,6
1060,7
1061,4
1062,8
1063,8
1064,10
1065,5
1066,10
1067,7
1068,5
1069,8
1070,6
1071,6
1072,8
1073,9
1074,10
1075,3
1076,2
1077,6
1078,6
1079,4
1080,5
1081,12
1082,8
1083,4
1084,4
1085,2
1086,4
1087,8
1088,6
1089,4
1090,5
1091,9
1092,6
1093,9
1094,9
1095,2
1096,6
1097,4
1098,11
1099,2
1100,13
1101,5
1102,5
1103,7
1104,7
1105,53
1106,11
1107,6
1108,6
1109,8
1110,10
1111,6
1112,9
1113,7
1114,6
1115,3
1116,6
1117,3
1118,4
1119,7
1120,10
1121,9
1122,6
1123,1
1124,3
1125,9
1126,9
1127,5
1128,6
1129,3
1130,8
1131,3
1132,4
1133,6
1134,3
1135,7
1136,2
1137,10
1138,5
1139,7
1140,2
1141,6
1142,6
1143,7
1144,6
1145,5
1146,5
1147,8
1148,6
1149,6
1150,6
1151,9
1152,6
1153,12
1154,17
1155,6
1156,6
1157,7
1158,4
1159,7
1160,9
1161,7
1162,9
1163,3
1164,9
1165,4
1166,7
1167,10
1168,10
1169,4
1170,5
1171,7
1172,7
1173,4
1174,3
1175,13
1176,6
1177,4
1178,5
1179,6
1180,2
1181,4
1182,9
1183,5
1184,8
1185,5
1186,8
1187,5
1188,3
1189,9
1190,4
1191,7
1192,8
1193,4
1194,8
1195,5
1196,7
1197,5
1198,6
1199,4
1200,7
1201,3
1202,9
1203,8
1204,5
1205,6
1206,4
1207,2
1208,7
1209,1
1210,4
1211,4
1212,7
1213,5
1214,11
1215,5
1216,4
1217,6
1218,7
1219,6
1220,2
1221,2
1222,6
1223,8
1224,5
1225,5
1226,6
1227,4
1228,7
1229,7
1230,4
1231,4
1232,3
1233,8
1234,4
1235,3
1236,4
1237,6
1239,6
1240,5
1241,5
1242,6
1243,5
1244,7
1245,4
1246,2
1247,3
1248,4
1249,4
1250,9
1251,9
1252,7
1253,8
1254,6
1255,3
1256,3
1257,8
1258,7
1259,5
1260,11
1261,2
1262,4
1264,8
1265,9
1266,6
1267,7
1268,5
1269,3
1270,2
1271,2
1272,3
1273,2
1274,5
1275,4
1276,4
1277,6
1278,5
1279,2
1280,7
1281,2
1282,2
1283,7
1284,5
1285,4
1286,3
1287,5
1288,3
1289,3
1290,3
1291,6
1292,7
1293,7
1294,4
1295,6
1296,1
1297,6
1298,8
1299,8
1300,5
1301,6
1302,5
1303,5
1304,2
1305,7
1306,6
1307,6
1308,2
1309,4
1311,4
1312,4
1313,5
1314,6
1315,4
1316,3
1317,3
1318,2
1319,6
1320,6
1321,4
1322,4
1323,2
1324,8
1325,5
1326,5
1327,4
1328,4
1329,2
1330,4
1331,7
1332,3
1333,1
1334,11
1335,4
1336,3
1337,3
1338,3
1339,3
1340,7
1341,3
1342,6
1343,8
1344,5
1345,3
1346,5
1347,6
1348,7
1349,4
1350,5
1351,8
1352,2
1353,4
1354,4
1355,2
1356,5
1357,4
1358,4
1359,2
1360,1
1361,3
1362,6
1363,7
1364,4
1365,8
1366,6
1367,5
1368,5
1369,5
1370,2
1371,6
1372,4
1373,5
1374,3
1375,9
1376,3
1377,7
1378,3
1379,7
1380,2
1381,5
1382,2
1383,6
1384,3
1385,4
1386,9
1387,3
1388,4
1389,7
1390,5
1391,2
1392,4
1393,1
1394,8
1395,8
1396,9
1397,9
1398,7
1399,7
1400,1
1401,4
1402,9
1403,6
1404,5
1405,6
1406,6
1407,11
1408,5
1409,10
1410,6
1411,1
1412,6
1413,3
1414,4
1415,3
1416,5
1417,6
1418,7
1419,5
1420,2
1421,6
1422,5
1423,4
1424,8
1425,6
1426,4
1427,5
1428,3
1429,5
1430,7
1431,1
1433,2
1434,2
1435,4
1436,4
1437,2
1438,2
1439,4
1440,4
1441,3
1442,1
1443,2
1444,2
1445,5
1446,4
1447,1
1448,7
1449,5
1450,3
1451,6
1452,5
1453,3
1454,3
1455,2
1456,1
1457,5
1458,6
1459,3
1460,7
1461,5
1462,13
1463,4
1464,7
1465,3
1466,5
1467,9
1468,4
1469,2
1470,5
1471,4
1472,4
1473,6
1474,1
1475,3
1476,6
1477,9
1478,1
1479,5
1480,2
1481,4
1482,4
1483,2
1484,2
1485,2
1486,5
1487,4
1488,6
1489,5
1490,5
1491,4
1492,3
1493,5
1494,3
1495,8
1496,6
1497,6
1498,2
1499,3
1500,4
1501,5
1502,6
1503,3
1504,4
1505,5
1506,2
1507,5
1508,2
1509,5
1510,3
1511,2
1512,2
1513,4
1514,2
1515,5
1516,7
1517,1
1518,2
1519,2
1520,4
1521,6
1522,1
1524,5
1525,1
1526,5
1527,6
1528,6
1529,2
1530,2
1531,6
1532,2
1533,10
1534,2
1535,3
1536,5
1537,6
1538,3
1539,4
1540,6
1541,4
1542,1
1543,4
1544,5
1545,2
1546,4
1547,8
1548,3
1549,3
1550,3
1551,3
1552,3
1553,3
1554,1
1555,5
1556,2
1557,2
1558,5
1559,2
1560,4
1561,2
1562,2
1563,2
1564,3
1565,3
1566,8
1567,2
1568,2
1569,2
1570,6
1571,8
1572,6
1573,7
1574,5
1575,3
1576,3
1577,6
1578,3
1579,6
1580,5
1581,2
1582,2
1583,4
1584,3
1585,2
1586,3
1587,2
1588,2
1589,3
1590,3
1591,4
1592,3
1593,3
1594,1
1595,1
1596,4
1597,5
1598,5
1599,1
1600,2
1602,2
1603,2
1604,5
1605,4
1606,3
1607,1
1608,1
1609,2
1610,7
1611,2
1612,5
1613,3
1614,2
1615,2
1616,6
1617,8
1618,7
1619,8
1620,7
1621,3
1622,3
1623,3
1624,8
1625,4
1626,3
1627,3
1628,2
1629,4
1630,4
1631,3
1632,4
1633,4
1634,5
1635,1
1636,3
1638,1
1639,2
1640,1
1641,2
1642,1
1643,3
1644,2
1645,2
1646,3
1647,2
1650,3
1651,2
1652,2
1653,3
1654,3
1655,2
1656,4
1657,2
1658,6
1659,5
1660,4
1661,3
1662,3
1663,2
1664,3
1665,2
1666,1
1667,6
1668,3
1669,2
1670,3
1671,4
1672,3
1673,1
1674,4
1675,4
1676,1
1677,5
1678,4
1679,4
1680,5
1681,2
1682,4
1684,5
1685,5
1686,3
1688,3
1689,3
1690,2
1691,3
1692,3
1693,3
1694,11
1695,4
1696,2
1697,2
1698,2
1699,1
1700,2
1701,3
1702,2
1703,6
1704,2
1705,3
1706,7
1707,1
